City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Columbia (Town Center),21044,BP,"5485 HARPERS FARM RD, 21044",4.49,BP,39.2220799,-76.8907487,4.44
Columbia (Town Center),21044,Sunoco,"6440 Freetown Rd, 21044",4.55,Sunoco,39.1950229,-76.8817831,4.52
Columbia (Town Center),21044,Exxon,"10141 Little Patuxent Pkwy, 21044",4.79,Exxon,39.2181995,-76.8577067,4.76
Columbia (East),21045,Liberty,"6425 Dobbin Center Way, 21045",3.87,-,39.1968235,-76.8216821,3.87
Columbia (East),21045,7-Eleven,"5901 Stevens Forest Rd, 21045",3.88,7-Eleven,39.210533,-76.847772,3.85
Columbia (East),21045,Exxon,"7100 Minstrel Way, 21045",3.89,Exxon,39.177736,-76.84448,3.86
Columbia (East),21045,Shell,"7248 Cradlerock Way, 21045",3.95,Shell,39.1862523,-76.8457193,3.9
Columbia (East),21045,Mobil,"6251 Columbia Crossing Cir, 21045",4.09,Mobil,39.1995215,-76.8147128,4.06
Columbia (East),21045,7-Eleven,"8251 Snowden River Pkwy, 21045",3.98,7-Eleven,39.2090716,-76.8034905,3.95
Columbia (East),21045,Exxon,"6004 Foreland Garth, 21045",4.17,Exxon,39.2049806,-76.8164844,4.14
Columbia (South),21046,Royal Farms,"7084 Minstrel Way, 21046",3.89,Royal Farms,39.1759477,-76.8444624,3.79
Columbia (South),21046,Shell,"9101 Snowden River Pkwy, 21046",4.09,Shell,39.1827983,-76.8205935,4.04
Columbia (South),21046,Exxon,"6300 Stevens Forest, 21046",4.09,Exxon,39.1973061,-76.8530941,4.06
Ellicott City (West),21042,Mobil,"9320 Baltimore National Pike, 21042",3.89,Mobil,39.2779163,-76.8325436,3.86
Ellicott City (West),21042,Dash-In,"9075 Baltimore National Pike, 21042",3.94,-,39.2762251,-76.8250029,3.94
Ellicott City (West),21042,Carroll Motor Fuels,"9109 BALTIMORE NATIONAL PIKE, 21042",3.85,-,39.2771741,-76.8262007,3.85
Ellicott City (West),21042,Sunoco,"10214 Baltimore National Pike, 21042",3.99,Sunoco,39.2803307,-76.8652201,3.96
Ellicott City (West),21042,Sunoco,"9395 Baltimore National Pike, 21042",4.05,Sunoco,39.2772371,-76.8350415,4.02
Ellicott City (West),21042,Shell,"4755 Dorsey Hall Dr, 21042",4.09,Shell,39.2423537,-76.8403131,4.04
Ellicott City (West),21042,Exxon,"10193 Baltimore National Pike, 21042",4.09,Exxon,39.2793591,-76.8636316,4.06
Ellicott City (East),21043,Shell,"64 Frederick Rd, 21043",3.89,Shell,39.2654947,-76.7906258,3.84
Ellicott City (East),21043,Exxon,"8850 Centre Park Dr, 21043",3.89,Exxon,39.2279074,-76.8127674,3.86
Ellicott City (East),21043,Carroll Motor Fuels,"4132 Old Columbia Pike, 21043",3.87,-,39.2565046,-76.8197592,3.87
Ellicott City (East),21043,BP,"8505 Baltimore National Pike, 21043",3.87,BP,39.2842309,-76.8075056,3.82
Ellicott City (East),21043,Exxon,"4235 Montgomery Rd, 21043",3.89,Exxon,39.2554156,-76.8184372,3.86
Ellicott City (East),21043,Mobil,"4398 Montgomery Rd, 21043",3.93,Mobil,39.2520755,-76.8165282,3.9
Ellicott City (East),21043,Dash In,"4205 Montgomery Rd, 21043",3.94,-,39.2561283,-76.8190081,3.94
Ellicott City (East),21043,Carroll Motor Fuels,"8720 Baltimore National Pike, 21043",3.99,-,39.2808054,-76.8147058,3.99
Scaggsville / Laurel,20723,7-Eleven,"9651 Washington Blvd N, 20723",3.89,7-Eleven,42.739557,-83.0334814,3.86
Scaggsville / Laurel,20723,Shell,"9280 All Saints Rd, 20723",4.09,Shell,39.1195226,-76.8519516,4.04
Scaggsville / Laurel,20723,Exxon,"9275 All Saints Rd, 20723",4.09,Exxon,39.1189484,-76.8513125,4.06
Scaggsville / Laurel,20723,Exxon,"7500 Montpelier Rd, 20723",4.39,Exxon,39.159558,-76.893227,4.36
Scaggsville / Laurel,20723,Exxon,"8850 Gorman Rd, 20723",4.29,Exxon,39.1315805,-76.8205188,4.26
Clarksville,21029,Sunoco,"5015 Signal Bell Ln, 21029",4.19,Sunoco,39.2097731,-76.9388595,4.16
Clarksville,21029,Exxon,"12405 Clarksville Pike, 21029",4.29,Exxon,39.2065148,-76.9427277,4.26
Fulton,20759,High's,"11840 Lime Kiln Rd, 20759",4.09,High's,39.1513419,-76.9241758,4.04
Fulton,20759,BP,"8181 Maple Lawn Blvd, 20759",4.39,BP,39.1471556,-76.9052212,4.34
West Friendship,21163,Shell,"10781 Birmingham Way, 21163",4.09,Shell,39.3080872,-76.8892762,4.04
Cooksville,21723,High's Dairy Store,"2101 Roxbury Mills Rd, 21723",3.89,High's,39.3131592,-77.0197157,3.84
Glenelg,21737,Royal Farms,"3901 Ten Oaks Rd, 21737",3.89,Royal Farms,39.2645324,-76.9858863,3.79
Sykesville/Eldersburg,21784,Carroll Motor Fuels,"1400 Liberty Rd, 21784",3.77,-,39.402213,-76.944181,3.77
Sykesville/Eldersburg,21784,High's Dairy Store,"6700 Sykesville Rd, 21784",3.93,High's,39.3910806,-76.9619588,3.88
Sykesville/Eldersburg,21784,7-Eleven,"6323 Sykesville Rd, 21784",3.94,7-Eleven,39.399826,-76.9516719,3.91
Sykesville/Eldersburg,21784,Royal Farms,"1261 Liberty Rd, 21784",3.89,Royal Farms,39.4045373,-76.9517427,3.79
Sykesville/Eldersburg,21784,High's Dairy Store,"10 Liberty Rd, 21784",3.89,High's,39.4240768,-76.9961772,3.84
Sykesville/Eldersburg,21784,Martin's,"1318 Londontown Blvd, 21784",3.97,-,39.4083322,-76.9490677,3.97
Sykesville/Eldersburg,21784,Shell,"6401 Ridge Rd, 21784",3.97,Shell,39.39371,-76.93236,3.92
Sykesville/Eldersburg,21784,Exxon,"1305 Liberty Rd, 21784",3.99,Exxon,39.4034022,-76.9503893,3.96
Sykesville/Eldersburg,21784,Shell,"887 Sandosky Rd, 21784",3.99,Shell,39.366138,-76.9651372,3.94
Sykesville/Eldersburg,21784,Marathon,"1631 W Liberty Rd, 21784",3.95,-,39.4447168,-77.0506223,3.95
Sykesville/Eldersburg,21784,Wawa,"1310 Liberty Rd, 21784",3.97,Wawa,39.4038381,-76.9503802,3.97
Mount Airy,21771,Marathon,"2605 Liberty Rd, 21771",3.95,-,39.4581114,-77.088031,3.95
Mount Airy,21771,High's Dairy Store,"1001 Twin Arch Rd, 21771",4.05,High's,39.3680732,-77.1445195,4.0
Mount Airy,21771,7-Eleven,"1610 RIDGESIDE DR, 21771",4.05,7-Eleven,39.3635033,-77.1631603,4.02
