City,Zip,Station,Address,Base,Net,Discount
Severn,21144,7-Eleven,"500 Donaldson Ave, 21144",2.77,2.74,7-Eleven
Severn,21144,Royal Farms,"7843 Telegraph Rd, 21144",2.79,2.69,Royal Farms
Severn,21144,Exxon,"805 Reece Rd, 21144",2.99,2.96,Exxon
Severn,21144,Sunoco,"8272 Quarterfield Rd, 21144",2.99,2.96,Sunoco
Hanover (Arundel Mills),21076,Royal Farms,"7910 Shipley Homestead Dr, 21076",2.79,2.69,Royal Farms
Hanover (Arundel Mills),21076,Shell,"2631 Old Annapolis Rd, 21076",2.79,2.74,Shell
Hanover (Arundel Mills),21076,7-Eleven,"1075 Dorsey Rd, 21076",2.79,2.76,7-Eleven
Hanover (Arundel Mills),21076,Wawa,"7710 Milest, 21076",2.97,2.97,Wawa
Hanover (Arundel Mills),21076,Exxon,"7898 Ridge Rd, 21076",2.94,2.91,Exxon
Hanover (Arundel Mills),21076,CITGO,"1401 Dorsey Rd, 21076",2.95,2.95,-
Hanover (Arundel Mills),21076,Exxon,"7671 Arundel Mills Blvd, 21076",3.25,3.22,Exxon
Hanover (Arundel Mills),21076,Exxon,"7043 Arundel Mills Cir, 21076",3.25,3.22,Exxon
Hanover (Arundel Mills),21076,Shell,"1356 Dorsey Rd, 21076",3.3,3.25,Shell
Jessup,20794,High's Dairy Store,"2861 Jessup Rd, 20794",2.77,2.72,High's
Jessup,20794,Royal Farms,"2850 Jessup Rd, 20794",2.79,2.69,Royal Farms
Jessup,20794,Royal Farms,"8686 Washington Blvd, 20794",2.79,2.69,Royal Farms
Jessup,20794,Shell,"2753 Annapolis Rd, 20794",2.84,2.79,Shell
Jessup,20794,BP,"7879 Pocomoke Dr, 20794",3.09,3.04,BP
Jessup,20794,BP,"8810 Washington Blvd, 20794",2.99,2.94,BP
Jessup,20794,Sunoco,"2739 Annapolis Rd, 20794",2.89,2.86,Sunoco
Jessup,20794,Royal Farms,"7136 Montevideo Rd, 20794",2.99,2.89,Royal Farms
Savage,20763,Features,"14241 Dallas Parkway, 20763",2.57,2.57,-
Scaggsville / Laurel,20723,7-Eleven,"9651 Washington Blvd, 20723",2.89,2.86,7-Eleven
Scaggsville / Laurel,20723,Shell,"9280 All Saints Rd, 20723",2.99,2.94,Shell
Scaggsville / Laurel,20723,Weis,"9250 Washington Blvd, 20723",2.99,2.99,-
Scaggsville / Laurel,20723,Exxon,"9275 All Saints Rd, 20723",3.05,3.02,Exxon
Scaggsville / Laurel,20723,Exxon,"8850 Gorman Rd, 20723",3.15,3.12,Exxon
Scaggsville / Laurel,20723,Exxon,"7500 Montpelier Rd, 20723",3.39,3.36,Exxon
