City,Zip,Station,Address,Base,Net,Discount,Lat,Long
Scaggsville / Laurel,20723,Exxon,"9275 All Saints Rd, 20723",2.99,2.96,Exxon,39.1189484,-76.8513125
Scaggsville / Laurel,20723,7-Eleven,"9651 Washington Blvd N, 20723",2.99,2.96,7-Eleven,39.1180551,-76.8297577
Columbia (Wilde Lake / Town Center),21044,Sunoco,"6440 Freetown Rd, 21044",3.49,3.46,Sunoco,39.1950229,-76.8817831
Columbia (Wilde Lake / Town Center),21044,Exxon,"10141 Little Patuxent Pkwy, 21044",3.59,3.56,Exxon,39.2181995,-76.8577067
Columbia (East),21045,7-Eleven,"5901 Stevens Forest Rd, 21045",2.95,2.92,7-Eleven,39.210533,-76.847772
Columbia (East),21045,Liberty,"6425 Dobbin Center Way, 21045",2.85,2.85,-,39.1968235,-76.8216821
Columbia (East),21045,7-Eleven,"8251 Snowden River Pkwy, 21045",2.98,2.95,7-Eleven,39.2090716,-76.8034905
Columbia (East),21045,Exxon,"7100 Minstrel Way, 21045",2.99,2.96,Exxon,39.177736,-76.84448
Columbia (East),21045,Shell,"7248 Cradlerock Way, 21045",3.05,3.0,Shell,39.1862523,-76.8457193
Columbia (Guilford),21046,Royal Farms,"7084 Minstrel Way, 21046",2.99,2.89,Royal Farms,39.1759477,-76.8444624
Columbia (Guilford),21046,Shell,"9101 Snowden River Pkwy, 21046",3.04,2.99,Shell,39.1827983,-76.8205935
Ellicott City (Central),21042,Carroll Motor Fuels,"9109 BALTIMORE NATIONAL PIKE, 21042",2.91,2.91,-,39.2771741,-76.8262007
Ellicott City (Central),21042,Mobil,"9320 Baltimore National Pike, 21042",2.95,2.92,Mobil,39.2779163,-76.8325436
Ellicott City (Central),21042,Sunoco,"9395 Baltimore National Pike, 21042",2.93,2.9,Sunoco,39.2772371,-76.8350415
Ellicott City (Central),21042,Dash-In,"9075 Baltimore National Pike, 21042",2.99,2.99,-,39.2762251,-76.8250029
Ellicott City (Central),21042,Sunoco,"10214 Baltimore National Pike, 21042",2.93,2.9,Sunoco,39.2803307,-76.8652201
Ellicott City (Central),21042,Shell,"4755 Dorsey Hall Dr, 21042",3.19,3.14,Shell,39.2423537,-76.8403131
Ellicott City (North),21043,Carroll Motor Fuels,"4132 Old Columbia Pike, 21043",2.91,2.91,-,39.2565046,-76.8197592
Ellicott City (North),21043,Carroll Motor Fuels,"8720 Baltimore National Pike, 21043",2.93,2.93,-,39.2808054,-76.8147058
Ellicott City (North),21043,Exxon,"4235 Montgomery Rd, 21043",2.93,2.9,Exxon,39.2554156,-76.8184372
Ellicott City (North),21043,Shell,"64 Frederick Rd, 21043",2.99,2.94,Shell,39.2654947,-76.7906258
Ellicott City (North),21043,Mobil,"4398 Montgomery Rd, 21043",2.97,2.94,Mobil,39.2520755,-76.8165282
Ellicott City (North),21043,Dash In,"4205 Montgomery Rd, 21043",2.99,2.99,-,39.2561283,-76.8190081
Severn,21144,7-Eleven,"500 Donaldson Ave, 21144",2.97,2.94,7-Eleven,39.136636,-76.659232
Severn,21144,Exxon,"805 Reece Rd, 21144",2.99,2.96,Exxon,39.1361231,-76.6867451
Hanover (Arundel Mills),21076,Exxon,"7898 Ridge Rd, 21076",2.94,2.91,Exxon,39.133292,-76.735335
Hanover (Arundel Mills),21076,Shell,"2631 Old Annapolis Rd, 21076",2.99,2.94,Shell,39.2041164,-76.6417554
Hanover (Arundel Mills),21076,7-Eleven,"1075 Dorsey Rd, 21076",2.99,2.96,7-Eleven,39.1599143,-76.6836798
Hanover (Arundel Mills),21076,Wawa,"7710 Milestone Pkwy, 21076",3.03,3.03,Wawa,39.154105,-76.744585
Hanover (Arundel Mills),21076,Shell,"1356 Dorsey Rd, 21076",3.31,3.26,Shell,39.1588425,-76.7114914
Jessup,20794,Shell,"2753 Annapolis Rd, 20794",2.99,2.94,Shell,39.1377885,-76.7521393
Jessup,20794,Exxon,"7930 Washington Blvd, 20794",3.09,3.06,Exxon,39.1711851,-76.7868219
Fulton,20759,High's,"11840 Lime Kiln Rd, 20759",2.99,2.94,High's,39.1513419,-76.9241758
Fulton,20759,BP,"8181 Maple Lawn Blvd, 20759",3.4,3.35,BP,39.1471556,-76.9052212
Burtonsville,20866,Freestate,"15411 Old Columbia Pike, 20866",2.79,2.79,-,39.1083747,-76.9358213
Elkridge,21075,Shell,"7894 Washington Blvd, 21075",2.89,2.84,Shell,39.1725006,-76.7844243
Elkridge,21075,Exxon,"7311 Washington Blvd, 21075",2.99,2.96,Exxon,39.1832133,-76.7640327
Elkridge,21075,Exxon,"6310 Washington Blvd, 21075",2.99,2.96,Exxon,39.2071708,-76.7278267
Elkridge,21075,Marathon,"6315 Washington Blvd, 21075",3.09,3.09,-,39.2062192,-76.7275618
Elkridge,21075,Shell,"6295 Washington Blvd, 21075",3.09,3.04,Shell,39.2073558,-76.7270995
Odenton,21113,Sunoco,"1433 Annapolis Rd, 21113",2.89,2.86,Sunoco,39.0909128,-76.7130138
Odenton,21113,Shell,"1144 MD-175, 21113",3.05,3.0,Shell,39.082546,-76.690855
Odenton,21113,BP,"8749 PINEY ORCHARD PKWY, 21113",3.09,3.04,BP,39.0691814,-76.7144977
Odenton,21113,Exxon,"1318 Annapolis Rd, 21113",2.98,2.95,Exxon,39.0885514,-76.7006064
Annapolis Junction,20701,7-Eleven,"10930 Guilford Rd, 20701",2.99,2.96,7-Eleven,39.1292256,-76.7935882
