City,Zip,Station,Address,Base,Net,Discount
Springfield,01103,Features,"14241 Dallas Parkway, 01103",2.44,2.44,-
Holyoke,01040,Stop and Shop,"Unknown Address, 01040",2.69,2.69,-
Holyoke,01040,Gulf,"820 High St, 01040",2.69,2.69,-
Holyoke,01040,Gulf,"636 Main St, 01040",2.69,2.69,-
Holyoke,01040,Stop & Shop,"2265 Northampton St, 01040",2.69,2.59,Stop & Shop
Holyoke,01040,Stop & Shop,"28 Lincoln St, 01040",2.69,2.59,Stop & Shop
Holyoke,01040,Racing Mart,"580 South St, 01040",2.69,2.69,-
Holyoke,01040,City Gas,"3 Brown Ave, 01040",2.69,2.69,-
Holyoke,01040,Shell,"225 Whiting Farms Rd, 01040",3.15,3.1,Shell
Holyoke,01040,Stop and Shop,"820 High St, 01040",2.44,2.44,-
Northampton,01060,Stop & Shop,"228 King St, 01060",2.99,2.89,Stop & Shop
Northampton,01060,Cumberland Farms,"134 King St, 01060",3.02,2.92,Cumberland
Northampton,01060,Mobil,"15 Locust, 01060",3.05,3.02,Mobil
Northampton,01060,Pride,"375 King St, 01060",3.09,2.99,Pride
Northampton,01060,Racing Mart,"54 Easthampton Rd, 01060",2.99,2.99,-
Northampton,01060,Big Y Express,"188 N King St, 01060",3.01,2.96,Big Y
Northampton,01060,Sunoco,"776 N King St, 01060",3.02,2.99,Sunoco
Northampton,01060,Shell,"506 Pleasant St, 01060",3.09,3.04,Shell
Greenfield,01301,Sandri,"295 Federal St, 01301",2.79,2.79,-
Greenfield,01301,Shell,"Unknown Address, 01301",2.77,2.72,Shell
Greenfield,01301,Planet,"Unknown Address, 01301",2.77,2.77,-
Greenfield,01301,Mobil,"Unknown Address, 01301",2.77,2.74,Mobil
Greenfield,01301,Irving,"Unknown Address, 01301",2.89,2.89,-
Greenfield,01301,Speedway,"245 Federal St, 01301",2.95,2.9,Speedway
Greenfield,01301,Stop & Shop,"488 Bernardston Rd, 01301",2.89,2.79,Stop & Shop
Greenfield,01301,Cumberland Farms,"317 Federal St, 01301",2.95,2.85,Cumberland
Greenfield,01301,Sunoco,"416 Federal St, 01301",2.99,2.96,Sunoco
Greenfield,01301,F.L. Roberts,"63 Main St, 01301",2.99,2.99,-
South Deerfield,01373,Cumberland Farms,"31 Elm St, 01373",3.09,2.99,Cumberland
South Deerfield,01373,Irving,"1 Sunderland Rd, 01373",3.1,3.1,-
South Deerfield,01373,Irving,"1 Greenfield Rd, 01373",3.1,3.1,-
