City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Riverhead,11901,Sunoco,"1879 Old Country Rd 58, 11901",3.79,Sunoco,,,3.76
Riverhead,11901,Shell,"9 Lake Ave, 11901",3.79,Shell,40.9142638,-72.6632928,3.74
Riverhead,11901,Shell,"1733 Old Country Rd, 11901",3.79,Shell,40.9239801,-72.7023482,3.74
Riverhead,11901,Valero,"1356 OLD COUNTRY RD, 11901",3.79,-,40.9283279,-72.6857992,3.79
Riverhead,11901,Mobil,"1575 Old Country Rd, 11901",3.79,Mobil,40.9252206,-72.6951725,3.76
Riverhead,11901,Empire,"1050 Osborne Ave, 11901",3.77,-,40.8032257,-72.7577586,3.77
Riverhead,11901,76,"7 Peconic Ave, 11901",3.79,-,40.9149773,-72.6623567,3.79
Riverhead,11901,Speedway,"870 Old Country Rd, 11901",3.87,Speedway,40.9346058,-72.6699464,3.82
Riverhead,11901,Shell,"626 W Main St, 11901",3.89,Shell,40.9184063,-72.6731535,3.84
Riverhead,11901,Empire,"640 Old Country Rd, 11901",3.89,-,40.935281,-72.6648692,3.89
Riverhead,11901,CITGO,"1429 Main Rd, 11901",4.29,-,40.9391677,-72.6428426,4.29
