City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Scaggsville / Laurel,20723,Weis,"9250 Washington Blvd N, 20723",3.79,-,42.739557,-83.0334814,3.79
Scaggsville / Laurel,20723,7-Eleven,"9651 Washington Blvd N, 20723",3.79,7-Eleven,42.739557,-83.0334814,3.76
Scaggsville / Laurel,20723,Exxon,"8850 Gorman Rd, 20723",3.95,Exxon,39.1315805,-76.8205188,3.92
Scaggsville / Laurel,20723,Exxon,"7500 Montpelier Rd, 20723",3.99,Exxon,39.159558,-76.893227,3.96
Scaggsville / Laurel,20723,Shell,"9280 All Saints Rd, 20723",3.95,Shell,39.1195226,-76.8519516,3.9
Scaggsville / Laurel,20723,Exxon,"9275 All Saints Rd, 20723",3.95,Exxon,39.1189484,-76.8513125,3.92
Columbia (Town Center),21044,Sunoco,"6440 Freetown Rd, 21044",4.15,Sunoco,39.1950229,-76.8817831,4.12
Columbia (Town Center),21044,Exxon,"10141 Little Patuxent Pkwy, 21044",4.29,Exxon,39.2181995,-76.8577067,4.26
Columbia (East),21045,Liberty,"6425 Dobbin Center Way, 21045",3.67,-,39.1968235,-76.8216821,3.67
Columbia (East),21045,7-Eleven,"5901 Stevens Forest Rd, 21045",3.78,7-Eleven,39.210533,-76.847772,3.75
Columbia (East),21045,Mobil,"6251 Columbia Crossing Cir, 21045",3.85,Mobil,39.1995215,-76.8147128,3.82
Columbia (East),21045,Shell,"7248 Cradlerock Way, 21045",3.79,Shell,39.1862523,-76.8457193,3.74
Columbia (East),21045,Exxon,"7100 Minstrel Way, 21045",3.79,Exxon,39.177736,-76.84448,3.76
Columbia (East),21045,7-Eleven,"8251 Snowden River Pkwy, 21045",3.79,7-Eleven,39.2090716,-76.8034905,3.76
Columbia (East),21045,Exxon,"6004 Foreland Garth, 21045",3.89,Exxon,39.2049806,-76.8164844,3.86
Columbia (South),21046,Royal Farms,"7084 Minstrel Way, 21046",3.79,Royal Farms,39.1759477,-76.8444624,3.69
Columbia (South),21046,Shell,"9101 Snowden River Pkwy, 21046",3.83,Shell,39.1827983,-76.8205935,3.78
Ellicott City (West),21042,Mobil,"9320 Baltimore National Pike, 21042",3.75,Mobil,39.2779163,-76.8325436,3.72
Ellicott City (West),21042,Dash-In,"9075 Baltimore National Pike, 21042",3.79,-,39.2762251,-76.8250029,3.79
Ellicott City (West),21042,Carroll Motor Fuels,"9109 BALTIMORE NATIONAL PIKE, 21042",3.71,-,39.2771741,-76.8262007,3.71
Ellicott City (West),21042,Sunoco,"10214 Baltimore National Pike, 21042",3.79,Sunoco,39.2803307,-76.8652201,3.76
Ellicott City (West),21042,Shell,"4755 Dorsey Hall Dr, 21042",3.99,Shell,39.2423537,-76.8403131,3.94
Ellicott City (East),21043,BP,"8505 Baltimore National Pike, 21043",3.71,BP,39.2842309,-76.8075056,3.66
