City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Springfield (East),01104,BD Mart,"20 East St, 01104",3.59,-,42.1481272,-72.5629038,3.59
Springfield (East),01104,CITGO,"289 Carew St, 01104",3.65,-,42.149015,-72.5644193,3.65
Springfield (East),01104,Racing Mart,"1037 St James Ave, 01104",3.69,-,42.1371817,-72.5693712,3.69
Springfield (East),01104,Racing Mart,"612 Carew St, 01104",3.69,-,42.1225238,-72.5887328,3.69
Springfield (East),01104,Speedway,"80 St James Blvd, 01104",3.69,Speedway,42.1356575,-72.5683105,3.64
Springfield (East),01104,Liberty Gas,"668 Liberty St, 01104",3.69,-,42.1214212,-72.5846698,3.69
Springfield (East),01104,Cumberland Farms,"798 Carew St, 01104",3.79,Cumberland,42.1258915,-72.5841307,3.69
Springfield (East),01104,Pride,"77 West St, 01104",3.79,Pride,42.1435596,-72.6112724,3.69
Springfield (East),01104,Pride,"549 Page Blvd, 01104",3.79,Pride,42.1395392,-72.5601149,3.69
Springfield (East),01104,Stop & Shop,"1277 Liberty St, 01104",3.89,Stop & Shop,42.1373538,-72.5820966,3.79
Springfield (East),01104,CITGO,"1271 Page Blvd, 01104",3.75,-,42.1498946,-72.5374867,3.75
West Springfield,01089,Shell,"173 Elm St, 01089",3.34,Shell,42.1071429,-72.6236243,3.29
West Springfield,01089,Cumberland Farms,"143 Park Ave, 01089",3.44,Cumberland,42.1047799,-72.6193478,3.34
West Springfield,01089,Speedway,"341 Memorial Ave, 01089",3.49,Speedway,42.0958494,-72.6025407,3.44
West Springfield,01089,Cumberland Farms,"22 Park St, 01089",3.44,Cumberland,42.1080906,-72.6171258,3.34
West Springfield,01089,Nouria,"518 Memorial Ave, 01089",3.54,-,42.0960296,-72.606093,3.54
West Springfield,01089,Sunoco,"735 Westfield St, 01089",3.49,Sunoco,42.1033308,-72.6357365,3.46
West Springfield,01089,Mobil,"562 Westfield Rd, 01089",3.59,Mobil,42.1861117,-72.6524085,3.56
West Springfield,01089,Pride,"757 Riverdale St, 01089",3.89,Pride,42.1246626,-72.625502,3.79
West Springfield,01089,Pride,"1247 Riverdale St, 01089",3.89,Pride,42.1379202,-72.6252571,3.79
West Springfield,01089,Shell,"2044 Riverdale St, 01089",3.89,Shell,42.1577219,-72.6327404,3.84
West Springfield,01089,Shell,"1130 Riverdale St, 01089",3.89,Shell,42.1348232,-72.6261928,3.84
Westfield,01085,Sunoco,"88 S Maple St, 01085",3.49,Sunoco,41.9829506,-72.5400431,3.46
Westfield,01085,Shell,"27 Southwick Rd, 01085",3.49,Shell,42.1003913,-72.7636975,3.44
Westfield,01085,Mobil,"162 Southampton Rd, 01085",3.52,Mobil,42.1460884,-72.7310211,3.49
Westfield,01085,Cumberland Farms,"1134 Southampton Rd, 01085",3.55,Cumberland,42.1825106,-72.7271699,3.45
Westfield,01085,CITGO,"439 N Elm St, 01085",3.58,-,42.1401791,-72.7333993,3.58
Westfield,01085,Shell,"259 N Elm St, 01085",3.59,Shell,42.1359276,-72.7389062,3.54
Westfield,01085,CITGO,"41 Franklin St, 01085",3.67,-,42.1250645,-72.7500438,3.67
Westfield,01085,Big Y Express,"330 E Main St, 01085",3.74,Big Y,42.1137756,-72.7238961,3.69
Westfield,01085,Mobil,"181 Elm St, 01085",3.75,Mobil,42.1244206,-72.7476514,3.72
Westfield,01085,Gulf,"278 Elm St, 01085",3.79,-,42.1086935,-72.6235306,3.79
Westfield,01085,Irving,"1400 Russel Rd, 01085",3.55,-,41.4647535,-73.2224032,3.55
Chicopee,01020,Cumberland Farms,"1061 Memorial Dr, 01020",3.46,Cumberland,42.1870792,-72.5769006,3.36
Chicopee,01020,Gulf,"646 Grattan Street, 01020",3.57,-,42.1730203,-72.5984727,3.57
Chicopee,01020,Stop & Shop,"672 Memorial Dr, 01020",3.59,Stop & Shop,42.1759775,-72.5763068,3.49
Chicopee,01020,Big Y Express,"1177 Granby Rd, 01020",3.54,Big Y,42.1739323,-72.5872689,3.49
Chicopee,01020,Pride,"363 Burnett Rd, 01020",3.59,Pride,42.1661787,-72.5451161,3.49
Chicopee,01020,CITGO,"451 Grattan St, 01020",3.59,-,42.1684674,-72.5940776,3.59
Chicopee,01020,Pilot,"357 Burnett Rd, 01020",3.67,-,42.1661237,-72.546029,3.67
Chicopee,01020,Sunoco,"560 East St, 01020",3.69,Sunoco,42.1480861,-72.5642343,3.66
Chicopee,01020,Sunoco,"500 Montgomery St, 01020",3.79,Sunoco,42.1743862,-72.5869497,3.76
Chicopee,01020,Pride,"27 Montgomery St, 01020",3.89,Pride,42.1612887,-72.5824657,3.79
Chicopee,01020,Sunoco,"2041 Memorial Dr, 01020",3.45,Sunoco,42.2131424,-72.5723361,3.42
Chicopee,01020,CITGO,"817 Front St, 01020",3.49,-,42.1498779,-72.5862536,3.49
Holyoke,01040,Stop & Shop,"2265 Northampton St, 01040",3.59,Stop & Shop,42.1816881,-72.6330639,3.49
Holyoke,01040,Racing Mart,"580 South St, 01040",3.65,-,42.1946675,-72.6284783,3.65
Holyoke,01040,Stop and Shop,"2265 Northampton, 01040",3.69,-,42.1816881,-72.6330639,3.69
Holyoke,01040,City Gas,"3 Brown Ave, 01040",3.65,-,42.1945515,-72.6233582,3.65
Holyoke,01040,Stop & Shop,"28 Lincoln St, 01040",3.79,Stop & Shop,42.2142774,-72.6181875,3.69
Holyoke,01040,Shell,"225 Whiting Farms Rd, 01040",3.89,Shell,42.1748898,-72.6408246,3.84
Holyoke,01040,Shell,"1530 Northampton St, 01040",3.79,Shell,42.211614,-72.6296123,3.74
South Hadley,01075,Big Y Express,"467 Newton St, 01075",3.52,Big Y,42.235783,-72.5828163,3.47
South Hadley,01075,Cumberland Farms,"507 Newton St, 01075",3.57,Cumberland,42.2374802,-72.5816164,3.47
South Hadley,01075,White Wing,"568 Newton St, 01075",3.54,-,42.2396215,-72.5815538,3.54
South Hadley,01075,Mobil,"483 Granby Rd, 01075",3.79,Mobil,42.2350955,-72.5629626,3.76
Easthampton,01027,7-Eleven,"97 Union St, 01027",3.79,7-Eleven,42.2669407,-72.6696351,3.76
Easthampton,01027,Pride,"60 Union St, 01027",3.99,Pride,42.2681716,-72.6714491,3.89
Northampton,01060,Stop & Shop,"228 King St, 01060",3.59,Stop & Shop,42.3290172,-72.6358623,3.49
Northampton,01060,Big Y Express,"188 N King St, 01060",3.69,Big Y,42.3289047,-72.633738,3.64
Northampton,01060,Sunoco,"776 N King St, 01060",3.89,Sunoco,42.3622644,-72.6390352,3.86
Northampton,01060,Pride,"375 King St, 01060",3.99,Pride,42.3374852,-72.6366284,3.89
Hadley,01035,Cumberland Farms,"109 Russell St, 01035",3.69,Cumberland,42.3414532,-72.5946062,3.59
Hadley,01035,Stop & Shop,"446 Russell St, 01035",3.69,Stop & Shop,42.3646637,-72.5379721,3.59
Hadley,01035,Big Y Express,"73 Russell St, 01035",3.74,Big Y,42.3405615,-72.6018812,3.69
Hadley,01035,Pride,"25 Russell St, 01035",3.89,Pride,42.33861,-72.60906,3.79
Amherst,01002,CITGO,"260 College St, 01002",3.59,-,42.37332,-72.5062289,3.59
Amherst,01002,Mobil,"161 N Pleasant St, 01002",3.6,Mobil,42.378424,-72.519813,3.57
Amherst,01002,Cumberland Farms,"389 College St, 01002",3.69,Cumberland,42.373216,-72.5193521,3.59
Amherst,01002,Speedway,"468 West St, 01002",3.79,Speedway,42.3420911,-72.5198559,3.74
South Deerfield,01373,Cumberland Farms,"31 Elm St, 01373",3.57,Cumberland,42.5038547,-71.1615121,3.47
South Deerfield,01373,Irving,"1 Greenfield Rd, 01373",3.79,-,42.4708672,-72.6158055,3.79
Greenfield,01301,Sandri,"295 Federal St, 01301",3.59,-,42.600351,-72.5939125,3.59
Greenfield,01301,Shell,"242 Mohawk Tr, 01301",3.59,Shell,41.6585158,-74.8076132,3.54
Greenfield,01301,Stop & Shop,"488 Bernardston Rd, 01301",3.62,Stop & Shop,42.6094682,-72.5869418,3.52
Greenfield,01301,Cumberland Farms,"317 Federal St, 01301",3.69,Cumberland,42.6013026,-72.593169,3.59
Greenfield,01301,Sunoco,"416 Federal St, 01301",3.69,Sunoco,42.6060538,-72.5895143,3.66
Greenfield,01301,Speedway,"245 Federal St, 01301",3.79,Speedway,42.5981415,-72.5957967,3.74
Greenfield,01301,Shell,"100 Mohawk Tr, 01301",3.69,Shell,41.658523,-74.8076823,3.64
Greenfield,01301,Mobil,"142 Mohawk Tr, 01301",3.69,Mobil,41.6585209,-74.8076619,3.66
Agawam,01001,Shell,"6 Lealand Ave, 01001",3.39,Shell,42.071971,-72.6152387,3.34
Agawam,01001,Shell,"325 Main St, 01001",3.39,Shell,42.082285,-72.6158119,3.34
Agawam,01001,Gulf,"18 Springfield St, 01001",3.49,-,42.0897213,-72.6280116,3.49
Agawam,01001,CITGO,"1 River Rd, 01001",3.59,-,42.04632,-72.6158718,3.59
Agawam,01001,Cumberland Farms,"837 Suffield St, 01001",3.72,Cumberland,42.0606701,-72.6315678,3.62
Agawam,01001,CITGO,"650 Suffield St, 01001",3.74,-,42.0675744,-72.6317643,3.74
Agawam,01001,Mobil,"308 Suffield St, 01001",3.79,Mobil,42.0790669,-72.6300928,3.76
